ID	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	C31	C32	C33	C34	C35	C36	C37	C38	C39	C40	C41	C42	C43	C44	C45	C46	C47	C48	C49	C50
id142	0.047710659	0.155263286	0.297809322	-0.324908321	0.033626671	-0.249803181	1.013870691	-0.14950787	-0.837522949	-0.190298582	0.101495215	0.064463385	0.345700328	-0.229938185	-0.05006813	0.026991729	-0.964905503	0.355361594	0.543516952	0.176347506	0.268863046	1.190417361	0.19317348	0.025098619	0.56677577	0.426709922	0.405557679	1.348910919	-0.053212503	0.438289536	0.178791965	0.517020267	0.055976776	-0.168474883	0.196476012	0.029978524	0.360565692	-0.043422315	-0.310810296	0.073195008	0.081837797	1.259639415	-0.72807394	0.253506211	0.407905481	0.373017817	-0.293214155	-0.090942066	0.343406842	NA
id143	-0.303460517	0.13588841	0.418980133	0.004186973	-0.254655303	-0.061671219	0.29446987	-0.505314806	-0.281705797	0.064389345	-0.133364211	-0.086948688	-0.504994586	-0.079890271	-0.112889792	-0.260928711	-0.155816578	-0.48662229	-0.187912196	-0.197078395	-0.140927162	0.539352836	-0.146081859	-0.120327438	-0.429838299	-0.362932015	0.181559226	0.397854669	-0.081847939	-0.014033764	-0.358090569	0.165885034	-0.034737898	-0.346570428	-0.304978195	-0.207035794	0.787105155	-0.009319225	-0.30144797	-0.095473904	-0.530447645	0.317979821	-0.022558357	-0.35709954	-0.082989127	-0.122061178	0.741482651	0.139386204	-0.227241105	-0.199201556
id144	0.230666044	-0.372059546	1.732039723	-0.011824968	0.368453483	0.186753114	0.887331961	0.055828962	-0.20102	0.890942945	-0.023553788	-0.115886137	-0.181740664	0.138872305	-0.11226016	0.146344465	NA	-0.104285846	0.070888806	-0.015466036	-0.077736055	-0.701339834	0.030252131	0.074178805	-0.474428934	-0.166304162	-0.011898224	-0.139482685	-0.046450717	0.002913819	-0.011868672	0.009280825	0.32662171	0.324500958	-0.008650414	0.026159731	-0.319413653	0.094045206	0.000460642	-0.131424846	0.078056862	1.003595647	-0.215842206	0.176126452	-0.156425246	-0.240793201	-0.392311028	-0.088836522	-0.17320803	-0.171503651
id145	0.119461883	0.072582229	0.81746501	0.151081453	-0.03729565	0.05797687	-0.035705508	0.088449661	-0.062970675	-0.063895826	0.027407186	0.077896481	0.178541701	-0.080219367	-0.128999397	0.099787248	0.129368216	0.066990402	0.089219757	0.045548861	-0.129850044	-0.354193548	-0.009241764	-0.070945756	0.108289722	0.35524247	-0.0939957	1.455369691	0.055535542	0.045584414	0.097665675	0.041666861	0.065520377	-0.108202516	0.112106123	-0.575295301	-0.334981707	0.039339739	0.043833894	-0.075333401	-0.133549984	0.02347996	-0.397149468	0.220032736	0.373581326	0.009878653	0.20207239	0.001385612	-0.090224245	0.148478578
id146	-0.174941041	-0.139649203	-0.21978014	-0.003420251	0.070164427	0.180218285	-0.259469961	0.010757152	-0.278830803	-0.103836243	-0.128875414	-0.17127107	0.116684084	-0.107718577	0.525372926	-0.141300871	0.360662745	-0.166417465	-0.481118729	-0.041533918	0.01799657	0.002663737	0.800846989	0.053033521	-0.442881548	0.170115942	0.178308172	-0.024095301	0.075394834	0.000178864	-0.04426054	-0.009760537	-0.212042323	-0.06266625	0.11329539	-0.201390293	0.224899673	0.061613197	0.173133481	0.076170543	-0.334692128	0.206234101	-0.217744384	0.10040487	0.024243236	-0.075516306	-0.560672546	0.251577081	-0.134945957	-0.108247001
id147	0.910974336	0.111552048	0.918939594	0.017099604	0.477188338	0.07261478	0.286791308	NA	-0.436971575	-0.427357113	0.135149212	-0.094740524	0.690910589	0.177878084	0.106317276	0.466898725	-0.247686832	0.595255239	0.204793853	0.370695613	0.383780228	-0.041029376	1.451718962	-0.012964447	0.28840661	0.765577736	0.033339397	0.984347272	0.170901841	0.279806352	1.014114194	0.18704072	-0.16119264	0.197515757	-0.010178744	0.020939584	-0.168428428	0.024656682	0.538059234	0.030694898	0.198502849	-0.105444906	0.199293589	0.38520066	0.222080613	0.238088336	0.574175773	0.038793197	-0.04306376	NA
id148	-0.172794778	-0.219959031	0.011219848	-0.042954967	NA	0.139723847	-0.648323527	0.147636979	-0.137393705	0.097235998	0.119581487	-0.139589412	0.299799912	0.024551353	0.12144511	-0.116224719	-0.246738478	0.28152562	0.295147147	0.303237167	0.116869656	-0.875433492	0.296856687	0.010008708	-0.471120186	-0.093838953	-0.167093841	1.597475922	-0.116833566	-0.320852269	0.286905751	0.089319039	0.13768746	0.127521176	0.216922389	-0.06412994	-1.176599618	0.051759867	0.233047604	0.10642691	0.391218478	0.554462827	0.563682621	0.014708672	0.057731381	-0.075697037	1.363585377	0.275256065	-0.078801641	0.057208024
id149	-0.145737246	0.556453794	-0.183568523	-0.068112224	-0.124904646	-0.130050557	0.714220754	0.112943023	-0.733413324	-0.255833518	-0.081795269	-0.181077252	0.183675734	-0.022206466	-0.21599256	-0.075190494	-0.305082433	0.095232969	0.326764081	0.083184488	-0.015731783	1.097678401	-0.317242278	-0.054384284	0.138754163	-0.215892674	-0.290090083	0.792554515	-0.006577616	0.011579993	-0.068822229	-0.20932307	-0.117445007	0.324767384	-0.190721795	-0.677704734	0.522525258	0.070565016	-0.029517381	0.081235984	0.169198382	0.554203394	0.744836267	-0.09817675	0.519106358	0.233606825	0.533727337	-0.100458772	-0.040670395	-0.221967163
id150	0.031233359	0.116924539	0.171850699	-0.109054805	-0.10035699	NA	-0.311199103	-0.00747876	0.606281853	-0.083348409	0.234085095	-0.2464515	-0.023918913	0.173782831	0.406683643	-0.133530128	0.412157736	-0.088397444	0.276729204	0.133195744	0.115532137	-0.338431986	0.022310692	0.179146226	-0.024037183	0.015373032	-0.155242705	-0.162634892	0.165584232	0.341914434	0.250994487	-0.084856373	0.211342049	-0.238388284	-0.169438814	0.019234555	0.228632477	0.060130656	-0.010983946	-0.029753658	0.048335763	0.261201291	0.185818789	0.606300626	0.248879976	0.131218224	0.271420541	0.017311078	0.036667486	-0.064826388
id151	0.105991085	-0.381441069	-0.489038913	0.076964619	-0.048715535	0.083660578	-0.584046575	-0.241948196	0.83843732	0.116294975	-0.14695065	0.059564737	-0.076327656	-0.018033529	-0.227183868	0.314832133	0.065760379	-0.062957121	-0.303601556	0.137852471	-0.079431404	-0.604992285	-0.193555143	-0.132636995	-0.075480592	0.011881878	-0.2219187	1.624848659	-0.117329289	-0.506320322	-0.01610827	-0.539265175	-0.194631026	-0.595015913	-0.130722034	-0.344487377	-0.408803658	-0.006282606	0.213346685	-0.103346578	0.080041609	0.04471773	-0.5123704	-0.075243451	-0.23598328	-0.206598917	0.259633561	0.42196104	-0.078145767	-0.012913049
